ID director/directora,ID pelicula,Nombre y apellido
1,1,Celine Sciamma
2,2,Malena Solarz
3,3,Miguel Gomes
4,3,Maureen Fazendeiro
5,4,Rodrigo Pla
6,4,Laura Santullo
7,5,Chema Garcia Ibarra
8,6,John Adams
9,7,Panah Panahi
10,8,Lim Jisun
11,8,Lee Jae-eun
12,9,Jonas Trueba
13,10,Alessio Rigo de Righi
14,10,Matteo Zoppis
15,11, Silvan Zürcher
16,11,Ramon Zürche
17,12,Alexandre Koberidze
18,13,Martin Barrenechea
19,13,Nicolas Branca
20,14,Paz Fabrega
21,15,Cesar Cabral 
22,16,Ines Barrionuevo
23,17,Silvina Schnicer
24,17,Ulises Porra
25,18,Sofia Velazquez Nuñez
26,19,Francina Carbonell
27,20,Ana Katz
28,21,Maximiliano Schonfeld
29,22,Pablo Giorgelli
30,23,Ivan Fund
31,24,Nico Manzano
32,25,Ana Elena Tejera
33,26,Kim Torres
34,27,Oscar Vincentelli
35,28,Cristobal Leon
36,28,Joaquin Cociña
37,29,Elias Leon Siminiani
38,30,Leo Bittencourt
39,31,Guadalupe Gaona e Ignacio Masllorens
40,32,Agustina Perez Rial
41,33,Sofia Bordenave
42,34, Daniela Seggiaro
43,35,Juan Martin Hsu
44,36,Maria Alvarez
45,37,Agustina San Martin
46,38,Martin Sola
47,39,Marco Canale
48,39,Juan Fernandez Gebauer
49,39,Ignacio Ragone
50,40,Nic Loreti
51,41,Cesar Gonzalez
52,42,Betania Cappato
53,43,Sebastian Schjaer 
54,44,Toia Bonino
55,44,Marcos Joubert
56,45,Nicolas Torchinsky
57,46,Agustina Wetzel
58,47,Paola Michaels
59,48,Luciano Onetti
60,49,Pablo Martin Weber
61,50,Mariano Cocolo
62,51,Payal Kapadia
63,52,Theo Anthony
64,53,Isabelle Prim
65,54,Tin Dirdamal 
66,54,Eva Cadena
67,55,Samuel Delgado
68,55,Helena Giron
69,56,Susana Nobre
70,57,Travis Wilkerson
71,57,Erin Wilkerson
72,58,Vadim Kostrov
73,59,Ted Fendt
74,60,Raul Perrone
75,61,Radu Jude
76,62,Rhayne Vermette
77,63,Lois Patiño
